# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   94.93493493    0.00058248
   95.04504505    0.00057889
   95.15515516    0.00057506
   95.26526527    0.00057091
   95.37537538    0.00056647
   95.48548549    0.00056175
   95.59559560    0.00055679
   95.70570571    0.00055163
   95.81581582    0.00054636
   95.92592593    0.00054113
   96.03603604    0.00053611
   96.14614615    0.00053156
   96.25625626    0.00052771
   96.36636637    0.00052479
   96.47647648    0.00052300
   96.58658659    0.00052241
   96.69669670    0.00052300
   96.80680681    0.00052469
   96.91691692    0.00052733
   97.02702703    0.00053085
   97.13713714    0.00053526
   97.24724725    0.00054069
   97.35735736    0.00054734
   97.46746747    0.00055529
   97.57757758    0.00056435
   97.68768769    0.00057389
   97.79779780    0.00058290
   97.90790791    0.00059019
   98.01801802    0.00059469
   98.12812813    0.00059569
   98.23823824    0.00059297
   98.34834835    0.00058667
   98.45845846    0.00057719
   98.56856857    0.00056519
   98.67867868    0.00055156
   98.78878879    0.00053736
   98.89889890    0.00052375
   99.00900901    0.00051174
   99.11911912    0.00050209
   99.22922923    0.00049524
   99.33933934    0.00049130
   99.44944945    0.00049010
   99.55955956    0.00049130
   99.66966967    0.00049446
   99.77977978    0.00049918
   99.88988989    0.00050514
  100.00000000    0.00051223
